4 4|A a:56 b:0 c:97 d:3 e:52 f:-2 g:41 h:45 i:4
4 4|A a:55 b:0 c:97 d:-1 e:46 f:-1 g:41 h:50 i:8
1 1|A a:37 b:-3 c:100 d:0 e:36 f:0 g:64 h:64 i:0
1 1|A a:56 b:0 c:95 d:0 e:56 f:31 g:40 h:39 i:0
1 1|A a:41 b:0 c:81 d:-6 e:38 f:-1 g:40 h:42 i:2
4 4|A a:56 b:0 c:95 d:0 e:50 f:10 g:40 h:46 i:6
1 1|A a:45 b:-1 c:81 d:-3 e:46 f:17 g:36 h:35 i:0
1 1|A a:44 b:-2 c:85 d:0 e:44 f:0 g:41 h:41 i:0
1 1|A a:46 b:3 c:77 d:0 e:46 f:1 g:31 h:30 i:0
1 1|A a:41 b:-5 c:81 d:0 e:42 f:0 g:41 h:40 i:0
1 1|A a:37 b:0 c:82 d:4 e:36 f:0 g:45 h:46 i:0
1 1|A a:37 b:0 c:74 d:0 e:26 f:-12 g:38 h:48 i:10
1 1|A a:37 b:0 c:77 d:2 e:36 f:-11 g:39 h:41 i:2
4 4|A a:55 b:0 c:93 d:0 e:20 f:0 g:37 h:72 i:34
1 1|A a:51 b:0 c:102 d:0 e:50 f:-1 g:51 h:53 i:2
4 4|A a:56 b:0 c:96 d:3 e:42 f:0 g:40 h:55 i:14
1 1|A a:41 b:0 c:77 d:0 e:38 f:-30 g:36 h:39 i:2
1 1|A a:54 b:5 c:81 d:-1 e:54 f:0 g:26 h:26 i:0
1 1|A a:44 b:0 c:83 d:0 e:44 f:0 g:39 h:39 i:0
1 1|A a:45 b:0 c:82 d:0 e:44 f:-4 g:37 h:38 i:2
1 1|A a:56 b:0 c:78 d:0 e:54 f:-2 g:22 h:24 i:2
1 1|A a:59 b:0 c:86 d:0 e:56 f:-4 g:27 h:29 i:2
4 4|A a:55 b:0 c:77 d:0 e:10 f:-12 g:21 h:66 i:46
1 1|A a:56 b:0 c:90 d:0 e:54 f:-19 g:34 h:35 i:2
4 4|A a:55 b:0 c:77 d:-7 e:16 f:0 g:21 h:61 i:40
1 1|A a:52 b:0 c:82 d:4 e:50 f:-30 g:30 h:33 i:2
4 4|A a:56 b:0 c:95 d:0 e:42 f:-17 g:40 h:54 i:14
1 1|A a:47 b:3 c:76 d:0 e:46 f:0 g:30 h:30 i:0
5 5|A a:82 b:0 c:85 d:0 e:-2 f:4 g:3 h:88 i:84
1 1|A a:41 b:0 c:80 d:-6 e:42 f:2 g:39 h:39 i:0
1 1|A a:37 b:0 c:93 d:0 e:12 f:21 g:56 h:81 i:24
1 1|A a:46 b:1 c:79 d:0 e:44 f:-25 g:33 h:35 i:2
1 1|A a:43 b:0 c:86 d:-1 e:42 f:-11 g:42 h:44 i:2
4 4|A a:55 b:0 c:92 d:0 e:34 f:-1 g:37 h:59 i:22
1 1|A a:53 b:0 c:86 d:-7 e:52 f:-9 g:33 h:34 i:2
1 1|A a:48 b:1 c:79 d:0 e:46 f:0 g:31 h:33 i:2
1 1|A a:37 b:0 c:95 d:0 e:24 f:3 g:58 h:72 i:14
5 5|A a:102 b:0 c:103 d:5 e:70 f:-11 g:1 h:33 i:32
1 1|A a:46 b:1 c:76 d:0 e:46 f:2 g:30 h:29 i:0
4 4|A a:55 b:0 c:83 d:0 e:-30 f:6 g:27 h:114 i:86
1 1|A a:37 b:0 c:77 d:-1 e:24 f:24 g:40 h:54 i:14
1 1|A a:55 b:-5 c:83 d:0 e:54 f:0 g:28 h:29 i:0
1 1|A a:37 b:0 c:81 d:0 e:38 f:15 g:43 h:42 i:0
1 1|A a:37 b:1 c:77 d:0 e:36 f:139 g:39 h:41 i:2
1 1|A a:40 b:-4 c:84 d:0 e:38 f:0 g:45 h:46 i:2
1 1|A a:44 b:0 c:77 d:0 e:44 f:6 g:34 h:34 i:0
1 1|A a:52 b:-5 c:82 d:0 e:52 f:-4 g:29 h:30 i:0
1 1|A a:48 b:0 c:84 d:0 e:46 f:-1 g:36 h:38 i:2
1 1|A a:49 b:0 c:87 d:0 e:46 f:-14 g:38 h:41 i:2
1 1|A a:37 b:0 c:79 d:-1 e:36 f:-3 g:42 h:43 i:2
1 1|A a:46 b:0 c:81 d:1 e:46 f:0 g:34 h:34 i:0
1 1|A a:37 b:-2 c:107 d:0 e:36 f:-18 g:69 h:71 i:2
1 1|A a:37 b:2 c:79 d:0 e:26 f:0 g:42 h:53 i:12
1 1|A a:37 b:0 c:77 d:0 e:26 f:-15 g:40 h:51 i:10
1 1|A a:44 b:0 c:78 d:0 e:44 f:1 g:34 h:34 i:0
1 1|A a:51 b:0 c:82 d:0 e:50 f:-2 g:31 h:33 i:2
1 1|A a:42 b:-2 c:86 d:2 e:42 f:0 g:44 h:44 i:0
1 1|A a:42 b:3 c:88 d:0 e:42 f:0 g:46 h:47 i:0
1 1|A a:37 b:0 c:77 d:2 e:36 f:27 g:40 h:41 i:0
1 1|A a:49 b:1 c:81 d:0 e:46 f:-7 g:33 h:35 i:2
1 1|A a:53 b:1 c:83 d:0 e:54 f:15 g:30 h:28 i:0
1 1|A a:37 b:-1 c:79 d:0 e:36 f:-24 g:41 h:43 i:2
1 1|A a:50 b:0 c:77 d:-2 e:50 f:-4 g:27 h:28 i:2
1 1|A a:43 b:1 c:88 d:-1 e:42 f:0 g:45 h:46 i:2
5 5|A a:102 b:0 c:103 d:2 e:70 f:-7 g:1 h:33 i:32
1 1|A a:50 b:-4 c:86 d:0 e:50 f:0 g:36 h:37 i:2
1 1|A a:37 b:0 c:80 d:0 e:6 f:1 g:43 h:75 i:32
4 4|A a:56 b:0 c:76 d:0 e:-18 f:-10 g:20 h:94 i:74
1 1|A a:44 b:-4 c:83 d:0 e:44 f:0 g:38 h:39 i:0
1 1|A a:45 b:-1 c:81 d:2 e:46 f:5 g:36 h:35 i:0
1 1|A a:38 b:0 c:77 d:0 e:38 f:2 g:39 h:38 i:0
1 1|A a:37 b:0 c:80 d:0 e:36 f:-6 g:43 h:44 i:2
1 1|A a:37 b:0 c:90 d:0 e:34 f:0 g:53 h:57 i:4
1 1|A a:36 b:-3 c:83 d:8 e:36 f:0 g:46 h:46 i:0
1 1|A a:56 b:-1 c:86 d:-3 e:56 f:4 g:30 h:29 i:0
1 1|A a:46 b:4 c:81 d:0 e:44 f:-25 g:35 h:37 i:2
1 1|A a:37 b:0 c:75 d:0 e:26 f:-8 g:38 h:49 i:10
1 1|A a:37 b:0 c:78 d:0 e:2 f:1 g:41 h:75 i:34
1 1|A a:44 b:-5 c:109 d:0 e:44 f:0 g:65 h:66 i:0
1 1|A a:51 b:0 c:79 d:0 e:50 f:-18 g:27 h:30 i:2
1 1|A a:41 b:1 c:93 d:0 e:42 f:5 g:52 h:52 i:0
4 4|A a:56 b:3 c:98 d:0 e:44 f:-9 g:42 h:54 i:12
1 1|A a:37 b:0 c:79 d:1 e:8 f:-9 g:42 h:71 i:28
1 1|A a:46 b:-1 c:81 d:1 e:46 f:0 g:35 h:35 i:0
5 5|A a:81 b:-4 c:84 d:0 e:-14 f:4 g:4 h:100 i:96
1 1|A a:56 b:0 c:85 d:0 e:56 f:21 g:29 h:28 i:0
4 4|A a:55 b:0 c:77 d:0 e:38 f:9 g:22 h:39 i:16
1 1|A a:37 b:1 c:75 d:0 e:26 f:0 g:38 h:49 i:12
1 1|A a:53 b:0 c:86 d:3 e:52 f:-7 g:33 h:35 i:2
1 1|A a:46 b:0 c:88 d:1 e:46 f:9 g:42 h:41 i:0
1 1|A a:48 b:0 c:83 d:-4 e:46 f:0 g:35 h:37 i:2
1 1|A a:37 b:0 c:79 d:3 e:6 f:0 g:42 h:74 i:32
1 1|A a:37 b:0 c:78 d:-4 e:2 f:0 g:41 h:75 i:34
1 1|A a:44 b:0 c:77 d:-3 e:44 f:4 g:33 h:33 i:0
1 1|A a:41 b:0 c:78 d:0 e:38 f:-20 g:37 h:39 i:2
1 1|A a:48 b:0 c:87 d:-1 e:46 f:-2 g:39 h:41 i:2
1 1|A a:37 b:0 c:80 d:8 e:16 f:-2 g:43 h:65 i:22
1 1|A a:55 b:-2 c:86 d:0 e:54 f:0 g:32 h:32 i:0
1 1|A a:37 b:0 c:76 d:-5 e:28 f:-13 g:39 h:47 i:8
1 1|A a:46 b:3 c:90 d:0 e:46 f:0 g:43 h:43 i:0
1 1|A a:45 b:-2 c:81 d:0 e:44 f:-23 g:36 h:37 i:2
1 1|A a:52 b:0 c:78 d:-4 e:52 f:0 g:26 h:26 i:0
1 1|A a:37 b:0 c:79 d:0 e:8 f:-30 g:42 h:71 i:28
1 1|A a:51 b:5 c:82 d:4 e:50 f:0 g:31 h:33 i:2
1 1|A a:37 b:0 c:77 d:-1 e:34 f:-2 g:40 h:43 i:2
1 1|A a:45 b:0 c:81 d:-1 e:44 f:0 g:35 h:37 i:2
1 1|A a:37 b:0 c:81 d:0 e:28 f:-19 g:45 h:53 i:8
1 1|A a:37 b:0 c:81 d:0 e:24 f:27 g:44 h:58 i:14
1 1|A a:37 b:0 c:76 d:0 e:26 f:-11 g:39 h:50 i:10
1 1|A a:47 b:0 c:90 d:3 e:46 f:0 g:43 h:43 i:0
1 1|A a:46 b:0 c:79 d:0 e:46 f:1 g:33 h:32 i:0
1 1|A a:41 b:0 c:83 d:0 e:42 f:30 g:42 h:41 i:0
4 4|A a:55 b:0 c:77 d:-5 e:12 f:-3 g:22 h:65 i:42
1 1|A a:46 b:0 c:86 d:1 e:46 f:4 g:41 h:40 i:0
5 5|A a:81 b:1 c:85 d:1 e:-24 f:0 g:4 h:111 i:106
1 1|A a:42 b:0 c:86 d:-4 e:42 f:0 g:43 h:44 i:2
1 1|A a:45 b:1 c:92 d:-6 e:44 f:0 g:48 h:48 i:0
1 1|A a:39 b:0 c:81 d:0 e:38 f:0 g:42 h:43 i:0
1 1|A a:45 b:4 c:79 d:-1 e:44 f:0 g:35 h:35 i:0
1 1|A a:42 b:0 c:86 d:-6 e:42 f:0 g:45 h:45 i:0
1 1|A a:37 b:0 c:104 d:0 e:28 f:17 g:67 h:75 i:8
5 5|A a:105 b:1 c:106 d:0 e:70 f:-1 g:1 h:36 i:36
1 1|A a:45 b:0 c:78 d:0 e:46 f:24 g:33 h:32 i:0
1 1|A a:44 b:0 c:88 d:0 e:44 f:0 g:45 h:44 i:0
1 1|A a:37 b:0 c:84 d:0 e:20 f:16 g:47 h:63 i:16
1 1|A a:46 b:0 c:84 d:0 e:46 f:2 g:39 h:38 i:0
1 1|A a:39 b:-2 c:76 d:2 e:38 f:0 g:38 h:37 i:0
1 1|A a:37 b:0 c:103 d:0 e:34 f:14 g:66 h:69 i:4
1 1|A a:44 b:-2 c:82 d:0 e:44 f:0 g:38 h:38 i:0
1 1|A a:37 b:0 c:99 d:0 e:30 f:12 g:61 h:68 i:6
5 5|A a:84 b:0 c:88 d:0 e:-2 f:-14 g:3 h:90 i:88
1 1|A a:37 b:0 c:97 d:0 e:26 f:-3 g:60 h:71 i:12
1 1|A a:37 b:0 c:95 d:0 e:18 f:17 g:58 h:77 i:20
1 1|A a:46 b:4 c:88 d:0 e:46 f:0 g:41 h:41 i:0
1 1|A a:53 b:0 c:82 d:0 e:54 f:7 g:29 h:28 i:0
1 1|A a:44 b:0 c:88 d:0 e:42 f:-21 g:44 h:46 i:2
4 4|A a:56 b:0 c:97 d:0 e:44 f:-10 g:41 h:53 i:12
4 4|A a:55 b:0 c:77 d:4 e:28 f:-24 g:22 h:49 i:28
1 1|A a:55 b:0 c:88 d:0 e:54 f:-6 g:32 h:33 i:2
1 1|A a:37 b:0 c:83 d:9 e:24 f:0 g:46 h:60 i:14
1 1|A a:37 b:0 c:80 d:0 e:18 f:-3 g:43 h:62 i:18
4 4|A a:56 b:0 c:77 d:3 e:0 f:31 g:21 h:77 i:56
1 1|A a:37 b:0 c:77 d:-7 e:2 f:0 g:40 h:75 i:34
1 1|A a:37 b:0 c:77 d:0 e:36 f:-16 g:39 h:41 i:2
1 1|A a:44 b:1 c:81 d:0 e:42 f:-27 g:37 h:39 i:2
4 4|A a:55 b:0 c:95 d:0 e:52 f:-14 g:40 h:44 i:4
4 4|A a:55 b:0 c:95 d:-2 e:52 f:-23 g:40 h:44 i:4
1 1|A a:37 b:0 c:95 d:3 e:20 f:0 g:58 h:75 i:16
1 1|A a:49 b:0 c:95 d:0 e:50 f:12 g:46 h:46 i:0
4 4|A a:56 b:0 c:81 d:0 e:-10 f:-18 g:25 h:92 i:66
1 1|A a:49 b:0 c:86 d:0 e:46 f:-30 g:37 h:40 i:2
4 4|A a:55 b:0 c:82 d:0 e:-38 f:-4 g:26 h:121 i:94
5 5|A a:106 b:0 c:107 d:0 e:70 f:-29 g:1 h:37 i:36
1 1|A a:47 b:0 c:84 d:-2 e:46 f:0 g:38 h:38 i:0
1 1|A a:37 b:0 c:104 d:0 e:24 f:7 g:67 h:81 i:14
1 1|A a:37 b:0 c:77 d:0 e:28 f:25 g:41 h:49 i:8
1 1|A a:59 b:0 c:86 d:-1 e:60 f:21 g:28 h:27 i:0
1 1|A a:43 b:0 c:81 d:0 e:44 f:19 g:38 h:37 i:0
1 1|A a:42 b:0 c:77 d:-5 e:42 f:0 g:34 h:35 i:2
1 1|A a:50 b:-3 c:85 d:0 e:50 f:0 g:35 h:36 i:0
1 1|A a:56 b:-1 c:87 d:0 e:56 f:9 g:31 h:30 i:0
1 1|A a:37 b:0 c:76 d:0 e:26 f:22 g:39 h:50 i:12
1 1|A a:41 b:0 c:79 d:2 e:38 f:-3 g:39 h:41 i:2
4 4|A a:55 b:0 c:95 d:0 e:38 f:-7 g:40 h:57 i:16
4 4|A a:55 b:1 c:73 d:-6 e:-4 f:-25 g:18 h:78 i:60
4 4|A a:55 b:0 c:95 d:0 e:50 f:-25 g:40 h:46 i:6
4 4|A a:55 b:0 c:96 d:1 e:44 f:2 g:41 h:52 i:12
1 1|A a:37 b:-1 c:81 d:0 e:36 f:-10 g:43 h:44 i:2
1 1|A a:44 b:0 c:80 d:0 e:42 f:-15 g:36 h:39 i:2
1 1|A a:41 b:-4 c:79 d:0 e:38 f:-20 g:39 h:41 i:2
1 1|A a:38 b:-4 c:81 d:0 e:38 f:0 g:43 h:43 i:0
1 1|A a:56 b:0 c:87 d:0 e:56 f:12 g:31 h:30 i:0
1 1|A a:37 b:0 c:79 d:0 e:8 f:-2 g:43 h:72 i:28
1 1|A a:37 b:0 c:81 d:0 e:24 f:2 g:44 h:58 i:14
5 5|A a:84 b:5 c:88 d:0 e:0 f:0 g:3 h:88 i:84
1 1|A a:55 b:0 c:83 d:0 e:56 f:31 g:28 h:26 i:0
1 1|A a:37 b:2 c:82 d:5 e:24 f:0 g:45 h:59 i:14
5 5|A a:107 b:0 c:108 d:-1 e:72 f:3 g:1 h:35 i:34
1 1|A a:37 b:0 c:81 d:1 e:38 f:14 g:43 h:42 i:0
1 1|A a:37 b:0 c:78 d:0 e:12 f:19 g:41 h:65 i:24
1 1|A a:53 b:3 c:103 d:1 e:52 f:-3 g:50 h:51 i:2
5 5|A a:76 b:0 c:81 d:5 e:-42 f:0 g:5 h:125 i:120
1 1|A a:37 b:0 c:82 d:0 e:10 f:-8 g:45 h:72 i:26
1 1|A a:62 b:0 c:110 d:2 e:62 f:0 g:48 h:48 i:0
1 1|A a:37 b:0 c:80 d:0 e:-2 f:-6 g:43 h:83 i:40
4 4|A a:56 b:1 c:96 d:8 e:46 f:0 g:40 h:50 i:10
1 1|A a:49 b:0 c:83 d:0 e:50 f:23 g:34 h:33 i:0
1 1|A a:46 b:5 c:77 d:0 e:46 f:16 g:31 h:30 i:0
1 1|A a:46 b:1 c:77 d:0 e:46 f:1 g:31 h:31 i:0
1 1|A a:37 b:0 c:76 d:0 e:38 f:11 g:39 h:37 i:0
1 1|A a:57 b:0 c:92 d:2 e:56 f:0 g:34 h:35 i:0
4 4|A a:55 b:0 c:77 d:0 e:12 f:23 g:21 h:64 i:42
4 4|A a:55 b:0 c:77 d:0 e:-18 f:10 g:21 h:95 i:74
1 1|A a:37 b:0 c:82 d:-2 e:36 f:-3 g:45 h:46 i:2
1 1|A a:38 b:0 c:92 d:0 e:18 f:2 g:54 h:74 i:20
1 1|A a:37 b:0 c:75 d:-1 e:28 f:-22 g:38 h:46 i:8
1 1|A a:41 b:0 c:87 d:1 e:38 f:-13 g:46 h:48 i:2
4 4|A a:55 b:-4 c:96 d:3 e:46 f:0 g:41 h:50 i:8
1 1|A a:40 b:-3 c:75 d:0 e:38 f:0 g:35 h:36 i:2
1 1|A a:53 b:1 c:86 d:0 e:54 f:20 g:33 h:32 i:0
1 1|A a:38 b:2 c:81 d:0 e:38 f:18 g:43 h:42 i:0
1 1|A a:53 b:0 c:88 d:8 e:54 f:0 g:34 h:33 i:0
1 1|A a:43 b:0 c:83 d:2 e:42 f:0 g:40 h:41 i:2
1 1|A a:49 b:2 c:88 d:0 e:46 f:0 g:39 h:41 i:2
4 4|A a:55 b:0 c:93 d:0 e:42 f:-2 g:37 h:51 i:14
1 1|A a:55 b:1 c:82 d:0 e:54 f:-2 g:26 h:28 i:2
1 1|A a:54 b:3 c:89 d:0 e:54 f:0 g:35 h:35 i:0
1 1|A a:49 b:0 c:88 d:-2 e:50 f:34 g:39 h:39 i:0
1 1|A a:37 b:0 c:95 d:0 e:18 f:26 g:58 h:77 i:18
4 4|A a:56 b:-1 c:97 d:0 e:50 f:-7 g:41 h:48 i:6
1 1|A a:44 b:-1 c:76 d:0 e:44 f:0 g:32 h:32 i:0
1 1|A a:55 b:0 c:90 d:-1 e:54 f:0 g:36 h:36 i:0
1 1|A a:52 b:-4 c:80 d:0 e:52 f:0 g:28 h:28 i:0
1 1|A a:47 b:3 c:86 d:3 e:46 f:0 g:40 h:40 i:0
1 1|A a:41 b:0 c:81 d:1 e:42 f:1 g:39 h:39 i:0
1 1|A a:37 b:2 c:108 d:0 e:36 f:0 g:71 h:72 i:0
1 1|A a:37 b:-4 c:99 d:-4 e:28 f:0 g:62 h:71 i:8
1 1|A a:54 b:2 c:79 d:0 e:54 f:0 g:25 h:24 i:0
1 1|A a:61 b:0 c:111 d:0 e:60 f:-5 g:50 h:52 i:2
1 1|A a:46 b:0 c:77 d:-7 e:46 f:3 g:31 h:30 i:0
5 5|A a:104 b:1 c:106 d:9 e:72 f:2 g:2 h:33 i:32
4 4|A a:55 b:0 c:77 d:0 e:12 f:13 g:21 h:64 i:42
1 1|A a:37 b:0 c:78 d:0 e:8 f:17 g:41 h:70 i:30
1 1|A a:46 b:4 c:81 d:0 e:46 f:10 g:35 h:35 i:0
1 1|A a:43 b:0 c:87 d:0 e:42 f:-18 g:44 h:46 i:2
4 4|A a:55 b:0 c:78 d:0 e:10 f:22 g:23 h:68 i:46
5 5|A a:83 b:0 c:86 d:-2 e:-4 f:5 g:3 h:92 i:88
1 1|A a:37 b:0 c:77 d:-7 e:28 f:0 g:40 h:48 i:8
1 1|A a:37 b:0 c:78 d:0 e:12 f:13 g:41 h:65 i:24
4 4|A a:55 b:0 c:91 d:-6 e:-4 f:2 g:35 h:96 i:60
1 1|A a:37 b:0 c:104 d:0 e:28 f:17 g:66 h:75 i:8
1 1|A a:43 b:0 c:81 d:8 e:42 f:0 g:38 h:40 i:2
4 4|A a:55 b:0 c:77 d:-3 e:12 f:4 g:21 h:64 i:42
1 1|A a:38 b:0 c:75 d:0 e:38 f:9 g:37 h:36 i:0
1 1|A a:41 b:3 c:85 d:0 e:42 f:13 g:44 h:44 i:0
4 4|A a:55 b:-4 c:78 d:1 e:44 f:0 g:23 h:34 i:12
1 1|A a:37 b:0 c:76 d:0 e:24 f:-28 g:39 h:52 i:14
1 1|A a:45 b:0 c:108 d:0 e:44 f:-21 g:62 h:64 i:2
1 1|A a:44 b:0 c:85 d:0 e:44 f:18 g:41 h:41 i:0
1 1|A a:37 b:0 c:78 d:0 e:10 f:6 g:41 h:68 i:26
1 1|A a:51 b:0 c:86 d:0 e:52 f:10 g:35 h:35 i:0
4 4|A a:55 b:0 c:77 d:0 e:-10 f:-3 g:21 h:87 i:66
1 1|A a:37 b:0 c:78 d:0 e:12 f:25 g:41 h:65 i:24
1 1|A a:45 b:3 c:81 d:0 e:46 f:31 g:35 h:34 i:0
1 1|A a:64 b:0 c:110 d:-1 e:64 f:25 g:46 h:46 i:0
1 1|A a:43 b:0 c:88 d:-3 e:44 f:15 g:44 h:44 i:0
1 1|A a:44 b:-1 c:81 d:0 e:44 f:0 g:38 h:37 i:0
1 1|A a:53 b:1 c:80 d:0 e:52 f:-7 g:27 h:28 i:2
1 1|A a:56 b:0 c:79 d:0 e:56 f:23 g:23 h:22 i:0
1 1|A a:51 b:0 c:78 d:0 e:50 f:-22 g:27 h:29 i:2
4 4|A a:56 b:0 c:81 d:0 e:2 f:31 g:25 h:78 i:54
1 1|A a:51 b:-4 c:88 d:0 e:50 f:-11 g:37 h:39 i:2
1 1|A a:44 b:5 c:77 d:8 e:44 f:2 g:33 h:34 i:0
1 1|A a:57 b:2 c:81 d:-5 e:56 f:0 g:24 h:24 i:0
1 1|A a:45 b:2 c:81 d:2 e:44 f:0 g:37 h:37 i:0
1 1|A a:45 b:0 c:106 d:-7 e:44 f:-1 g:61 h:62 i:2
1 1|A a:49 b:0 c:87 d:-1 e:50 f:5 g:38 h:38 i:0
1 1|A a:46 b:1 c:107 d:-5 e:46 f:2 g:61 h:60 i:0
1 1|A a:46 b:-2 c:77 d:0 e:44 f:-27 g:32 h:34 i:2
4 4|A a:55 b:0 c:78 d:0 e:18 f:19 g:23 h:60 i:38
1 1|A a:37 b:0 c:76 d:0 e:30 f:16 g:40 h:45 i:6
1 1|A a:44 b:2 c:81 d:0 e:42 f:-22 g:37 h:39 i:2
1 1|A a:51 b:2 c:86 d:0 e:52 f:5 g:35 h:35 i:0
1 1|A a:46 b:-2 c:90 d:0 e:46 f:4 g:44 h:44 i:0
1 1|A a:37 b:0 c:76 d:0 e:20 f:8 g:40 h:55 i:16
1 1|A a:41 b:0 c:79 d:0 e:38 f:-23 g:38 h:40 i:2
1 1|A a:51 b:-3 c:86 d:0 e:52 f:0 g:35 h:35 i:0
5 5|A a:85 b:4 c:89 d:0 e:6 f:-4 g:4 h:84 i:80
1 1|A a:51 b:4 c:86 d:-3 e:50 f:0 g:36 h:37 i:2
5 5|A a:78 b:-5 c:82 d:0 e:-40 f:0 g:4 h:123 i:120
4 4|A a:56 b:0 c:79 d:0 e:16 f:18 g:23 h:63 i:40
1 1|A a:37 b:0 c:76 d:0 e:28 f:8 g:40 h:48 i:8
1 1|A a:41 b:0 c:87 d:-5 e:38 f:-6 g:46 h:48 i:2
1 1|A a:37 b:0 c:80 d:0 e:28 f:-3 g:43 h:52 i:8
1 1|A a:40 b:0 c:86 d:-4 e:38 f:0 g:45 h:47 i:2
1 1|A a:37 b:0 c:77 d:0 e:36 f:-5 g:39 h:41 i:2
1 1|A a:43 b:-3 c:83 d:0 e:42 f:-11 g:40 h:42 i:2
1 1|A a:56 b:0 c:82 d:0 e:56 f:25 g:26 h:25 i:0
1 1|A a:37 b:0 c:77 d:0 e:-10 f:-4 g:41 h:88 i:46
1 1|A a:44 b:0 c:83 d:0 e:44 f:10 g:40 h:39 i:0
1 1|A a:37 b:-1 c:76 d:0 e:36 f:-14 g:39 h:40 i:2
1 1|A a:38 b:-1 c:80 d:0 e:38 f:0 g:42 h:41 i:0
1 1|A a:42 b:0 c:85 d:-7 e:42 f:0 g:43 h:44 i:2
4 4|A a:55 b:-2 c:76 d:0 e:-14 f:28 g:21 h:92 i:70
5 5|A a:84 b:0 c:87 d:7 e:-2 f:0 g:3 h:90 i:86
1 1|A a:40 b:0 c:75 d:0 e:38 f:0 g:35 h:36 i:2
1 1|A a:45 b:-1 c:83 d:0 e:44 f:14 g:38 h:39 i:0
1 1|A a:41 b:0 c:86 d:-4 e:42 f:1 g:45 h:44 i:0
1 1|A a:43 b:0 c:96 d:3 e:42 f:-2 g:53 h:55 i:2
1 1|A a:49 b:-1 c:79 d:1 e:50 f:2 g:31 h:30 i:0
4 4|A a:56 b:0 c:95 d:0 e:46 f:31 g:40 h:49 i:10
1 1|A a:44 b:0 c:76 d:0 e:44 f:28 g:32 h:32 i:0
1 1|A a:48 b:0 c:94 d:0 e:46 f:-4 g:46 h:48 i:2
1 1|A a:41 b:-1 c:108 d:0 e:38 f:-6 g:67 h:69 i:2
1 1|A a:37 b:0 c:76 d:-4 e:26 f:-20 g:39 h:50 i:10
1 1|A a:42 b:1 c:77 d:-4 e:42 f:0 g:34 h:35 i:2
5 5|A a:76 b:4 c:81 d:0 e:-42 f:0 g:4 h:125 i:120
1 1|A a:37 b:0 c:104 d:0 e:20 f:3 g:67 h:84 i:16
1 1|A a:43 b:0 c:95 d:-1 e:42 f:-16 g:52 h:54 i:2
1 1|A a:51 b:-4 c:79 d:0 e:50 f:-14 g:28 h:30 i:2
1 1|A a:49 b:0 c:83 d:0 e:46 f:-18 g:34 h:37 i:2
1 1|A a:37 b:-5 c:91 d:0 e:6 f:-2 g:53 h:86 i:32
1 1|A a:43 b:-3 c:76 d:0 e:42 f:-21 g:33 h:35 i:2
1 1|A a:49 b:0 c:86 d:0 e:50 f:10 g:37 h:37 i:0
1 1|A a:37 b:0 c:76 d:0 e:24 f:29 g:39 h:52 i:14
1 1|A a:37 b:0 c:94 d:0 e:12 f:-21 g:57 h:81 i:24
1 1|A a:37 b:0 c:94 d:-3 e:12 f:0 g:57 h:81 i:24
4 4|A a:56 b:0 c:97 d:-1 e:46 f:-7 g:41 h:51 i:10
1 1|A a:45 b:-3 c:86 d:-1 e:44 f:0 g:41 h:42 i:0
1 1|A a:37 b:0 c:78 d:5 e:12 f:0 g:42 h:65 i:24
4 4|A a:55 b:0 c:93 d:0 e:0 f:-9 g:38 h:93 i:56
1 1|A a:37 b:0 c:93 d:0 e:12 f:27 g:56 h:81 i:24
1 1|A a:42 b:0 c:88 d:7 e:42 f:0 g:46 h:47 i:2
1 1|A a:37 b:0 c:78 d:0 e:18 f:-6 g:41 h:60 i:18
1 1|A a:56 b:0 c:78 d:0 e:54 f:-4 g:22 h:24 i:2
1 1|A a:55 b:2 c:79 d:5 e:54 f:0 g:24 h:24 i:0
4 4|A a:55 b:0 c:77 d:0 e:38 f:8 g:22 h:39 i:16
1 1|A a:49 b:-3 c:78 d:0 e:46 f:-29 g:29 h:32 i:2
1 1|A a:37 b:0 c:78 d:0 e:16 f:-5 g:42 h:63 i:22
1 1|A a:37 b:0 c:79 d:2 e:-6 f:0 g:42 h:86 i:44
1 1|A a:37 b:0 c:76 d:0 e:28 f:27 g:40 h:48 i:8
1 1|A a:49 b:0 c:88 d:-1 e:50 f:3 g:40 h:39 i:0
4 4|A a:55 b:0 c:95 d:0 e:36 f:-3 g:39 h:59 i:20
5 5|A a:106 b:0 c:108 d:0 e:72 f:1 g:1 h:35 i:34
1 1|A a:52 b:0 c:84 d:2 e:52 f:0 g:32 h:32 i:0
1 1|A a:52 b:-5 c:84 d:0 e:52 f:0 g:31 h:32 i:0
4 4|A a:55 b:0 c:81 d:0 e:-6 f:21 g:25 h:88 i:64
1 1|A a:55 b:0 c:83 d:-1 e:54 f:0 g:29 h:29 i:0
1 1|A a:37 b:1 c:77 d:2 e:36 f:0 g:40 h:41 i:0
1 1|A a:37 b:0 c:95 d:0 e:18 f:-22 g:57 h:77 i:20
4 4|A a:56 b:0 c:77 d:0 e:16 f:-4 g:22 h:62 i:40
1 1|A a:46 b:-1 c:83 d:0 e:46 f:3 g:37 h:37 i:0
1 1|A a:52 b:-2 c:87 d:3 e:52 f:0 g:35 h:35 i:0
1 1|A a:46 b:0 c:85 d:-2 e:46 f:6 g:39 h:39 i:0
1 1|A a:37 b:0 c:83 d:0 e:10 f:-10 g:46 h:72 i:26
